fen,move,move_san,move_number,to_move,evaluation,piece_count
r1bqkb1r/pp1ppppp/2n5/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 2 6,f1c4,Bc4,11,white,-1.0,31
r1bqkb1r/pp1ppppp/2n5/3nP3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq - 3 6,d5b6,Nb6,12,black,-1.0,31
r1bqkb1r/pp1ppppp/1nn5/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq - 4 7,c4b3,Bb3,13,white,-1.0,31
r1bqkb1r/pp1ppppp/1nn5/4P3/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq - 5 7,d7d5,d5,14,black,-1.0,31
r1bqkb1r/pp2pppp/1nn5/3pP3/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq d6 0 8,e5d6,exd6,15,white,-1.0,31
r1bqkb1r/pp2pppp/1nnP4/8/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq - 0 8,d8d6,Qxd6,16,black,0.0,30
r1b1kb1r/pp2pppp/1nnq4/8/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq - 0 9,e1g1,O-O,17,white,-1.0,29
r1b1kb1r/pp2pppp/1nnq4/8/3p4/1BP2N2/PP3PPP/RNBQ1RK1 b kq - 1 9,e7e5,e5,18,black,-1.0,29
r1b1kb1r/pp3ppp/1nnq4/4p3/3p4/1BP2N2/PP3PPP/RNBQ1RK1 w kq - 0 10,c3d4,cxd4,19,white,-1.0,29
r1b1kb1r/pp3ppp/1nnq4/4p3/3P4/1B3N2/PP3PPP/RNBQ1RK1 b kq - 0 10,e5d4,exd4,20,black,0.0,28
r1b1kb1r/pp3ppp/1nnq4/8/3p4/1B3N2/PP3PPP/RNBQ1RK1 w kq - 0 11,b1a3,Na3,21,white,-1.0,27
r1b1kb1r/pp3ppp/1nnq4/8/3p4/NB3N2/PP3PPP/R1BQ1RK1 b kq - 1 11,f8e7,Be7,22,black,-1.0,27
r1b1k2r/pp2bppp/1nnq4/8/3p4/NB3N2/PP3PPP/R1BQ1RK1 w kq - 2 12,c1g5,Bg5,23,white,-1.0,27
r1b1k2r/pp2bppp/1nnq4/6B1/3p4/NB3N2/PP3PPP/R2Q1RK1 b kq - 3 12,e7g5,Bxg5,24,black,-1.0,27
r1b1k2r/pp3ppp/1nnq4/6b1/3p4/NB3N2/PP3PPP/R2Q1RK1 w kq - 0 13,f3g5,Nxg5,25,white,-4.3,26
r1b1k2r/pp3ppp/1nnq4/6N1/3p4/NB6/PP3PPP/R2Q1RK1 b kq - 0 13,e8g8,O-O,26,black,-1.0,25
r1b2rk1/pp3ppp/1nnq4/6N1/3p4/NB6/PP3PPP/R2Q1RK1 w - - 1 14,d1h5,Qh5,27,white,-1.0,25
r1b2rk1/pp3ppp/1nnq4/6NQ/3p4/NB6/PP3PPP/R4RK1 b - - 2 14,d6g6,Qg6,28,black,-1.0,25
r1b2rk1/pp3ppp/1nn3q1/6NQ/3p4/NB6/PP3PPP/R4RK1 w - - 3 15,h5g6,Qxg6,29,white,-1.0,25
r1b2rk1/pp3ppp/1nn3Q1/6N1/3p4/NB6/PP3PPP/R4RK1 b - - 0 15,h7g6,hxg6,30,black,8.0,24
r1b2rk1/pp3pp1/1nn3p1/6N1/3p4/NB6/PP3PPP/R4RK1 w - - 0 16,a3b5,Nb5,31,white,-1.0,23
r1b2rk1/pp3pp1/1nn3p1/1N4N1/3p4/1B6/PP3PPP/R4RK1 b - - 1 16,c6a5,Na5,32,black,-1.0,23
r1b2rk1/pp3pp1/1n4p1/nN4N1/3p4/1B6/PP3PPP/R4RK1 w - - 2 17,b3c2,Bc2,33,white,-1.0,23
r1b2rk1/pp3pp1/1n4p1/nN4N1/3p4/8/PPB2PPP/R4RK1 b - - 3 17,c8d7,Bd7,34,black,-1.0,23
r4rk1/pp1b1pp1/1n4p1/nN4N1/3p4/8/PPB2PPP/R4RK1 w - - 4 18,b5d4,Nxd4,35,white,-1.0,23
r4rk1/pp1b1pp1/1n4p1/n5N1/3N4/8/PPB2PPP/R4RK1 b - - 0 18,a8c8,Rac8,36,black,0.0,22
2r2rk1/pp1b1pp1/1n4p1/n5N1/3N4/8/PPB2PPP/R4RK1 w - - 1 19,f1e1,Rfe1,37,white,0.0,22
2r2rk1/pp1b1pp1/1n4p1/n5N1/3N4/8/PPB2PPP/R3R1K1 b - - 2 19,a5c6,Nc6,38,black,0.0,22
2r2rk1/pp1b1pp1/1nn3p1/6N1/3N4/8/PPB2PPP/R3R1K1 w - - 3 20,d4b3,Nb3,39,white,0.0,22
2r2rk1/pp1b1pp1/1nn3p1/6N1/8/1N6/PPB2PPP/R3R1K1 b - - 4 20,f8e8,Rfe8,40,black,0.0,22
2r1r1k1/pp1b1pp1/1nn3p1/6N1/8/1N6/PPB2PPP/R3R1K1 w - - 5 21,c2e4,Be4,41,white,0.0,22
2r1r1k1/pp1b1pp1/1nn3p1/6N1/4B3/1N6/PP3PPP/R3R1K1 b - - 6 21,e8e7,Re7,42,black,0.0,22
2r3k1/pp1brpp1/1nn3p1/6N1/4B3/1N6/PP3PPP/R3R1K1 w - - 7 22,h2h3,h3,43,white,0.0,22
2r3k1/pp1brpp1/1nn3p1/6N1/4B3/1N5P/PP3PP1/R3R1K1 b - - 0 22,c8e8,Rce8,44,black,0.0,22
4r1k1/pp1brpp1/1nn3p1/6N1/4B3/1N5P/PP3PP1/R3R1K1 w - - 1 23,b3c5,Nc5,45,white,0.0,22
4r1k1/pp1brpp1/1nn3p1/2N3N1/4B3/7P/PP3PP1/R3R1K1 b - - 2 23,f7f6,f6,46,black,0.0,22
4r1k1/pp1br1p1/1nn2pp1/2N3N1/4B3/7P/PP3PP1/R3R1K1 w - - 0 24,c5d7,Nxd7,47,white,0.0,22
4r1k1/pp1Nr1p1/1nn2pp1/6N1/4B3/7P/PP3PP1/R3R1K1 b - - 0 24,b6d7,Nxd7,48,black,3.3,21
4r1k1/pp1nr1p1/2n2pp1/6N1/4B3/7P/PP3PP1/R3R1K1 w - - 0 25,e4d5,Bd5+,49,white,0.1,20
4r1k1/pp1nr1p1/2n2pp1/3B2N1/8/7P/PP3PP1/R3R1K1 b - - 1 25,g8h8,Kh8,50,black,0.1,20
4r2k/pp1nr1p1/2n2pp1/3B2N1/8/7P/PP3PP1/R3R1K1 w - - 2 26,e1e7,Rxe7,51,white,0.1,20
4r2k/pp1nR1p1/2n2pp1/3B2N1/8/7P/PP3PP1/R5K1 b - - 0 26,e8e7,Rxe7,52,black,5.1,19
7k/pp1nr1p1/2n2pp1/3B2N1/8/7P/PP3PP1/R5K1 w - - 0 27,g5f7,Nf7+,53,white,0.1,18
7k/pp1nrNp1/2n2pp1/3B4/8/7P/PP3PP1/R5K1 b - - 1 27,h8h7,Kh7,54,black,0.1,18
8/pp1nrNpk/2n2pp1/3B4/8/7P/PP3PP1/R5K1 w - - 2 28,a1c1,Rc1,55,white,0.1,18
8/pp1nrNpk/2n2pp1/3B4/8/7P/PP3PP1/2R3K1 b - - 3 28,d7b6,Nb6,56,black,0.1,18
8/pp2rNpk/1nn2pp1/3B4/8/7P/PP3PP1/2R3K1 w - - 4 29,d5c6,Bxc6,57,white,0.1,18
8/pp2rNpk/1nB2pp1/8/8/7P/PP3PP1/2R3K1 b - - 0 29,b7c6,bxc6,58,black,3.3,17
8/p3rNpk/1np2pp1/8/8/7P/PP3PP1/2R3K1 w - - 0 30,f7d6,Nd6,59,white,0.0,16
8/p3r1pk/1npN1pp1/8/8/7P/PP3PP1/2R3K1 b - - 1 30,e7e2,Re2,60,black,0.0,16
8/p5pk/1npN1pp1/8/8/7P/PP2rPP1/2R3K1 w - - 2 31,b2b3,b3,61,white,0.0,16
8/p5pk/1npN1pp1/8/8/1P5P/P3rPP1/2R3K1 b - - 0 31,e2a2,Rxa2,62,black,0.0,16
8/p5pk/1npN1pp1/8/8/1P5P/r4PP1/2R3K1 w - - 0 32,c1c6,Rxc6,63,white,-1.0,15
8/p5pk/1nRN1pp1/8/8/1P5P/r4PP1/6K1 b - - 0 32,b6d5,Nd5,64,black,0.0,14
8/p5pk/2RN1pp1/3n4/8/1P5P/r4PP1/6K1 w - - 1 33,d6e4,Ne4,65,white,0.0,14
8/p5pk/2R2pp1/3n4/4N3/1P5P/r4PP1/6K1 b - - 2 33,a2b2,Rb2,66,black,0.0,14
8/p5pk/2R2pp1/3n4/4N3/1P5P/1r3PP1/6K1 w - - 3 34,c6a6,Ra6,67,white,0.0,14
8/p5pk/R4pp1/3n4/4N3/1P5P/1r3PP1/6K1 b - - 4 34,b2b3,Rxb3,68,black,0.0,14
8/p5pk/R4pp1/3n4/4N3/1r5P/5PP1/6K1 w - - 0 35,a6a7,Rxa7,69,white,-1.0,13
rnbqkb1r/pp1p1ppp/4p3/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,f1c4,Bc4,11,white,-1.0,31
rnbqkb1r/pp1p1ppp/4p3/3nP3/2Bp4/2P2N2/PP3PPP/RNBQK2R b KQkq - 1 6,d5b6,Nb6,12,black,-1.0,31
rnbqkb1r/pp1p1ppp/1n2p3/4P3/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq - 2 7,c4b3,Bb3,13,white,-1.0,31
rnbqkb1r/pp1p1ppp/1n2p3/4P3/3p4/1BP2N2/PP3PPP/RNBQK2R b KQkq - 3 7,d4c3,dxc3,14,black,-1.0,31
rnbqkb1r/pp1p1ppp/1n2p3/4P3/8/1Bp2N2/PP3PPP/RNBQK2R w KQkq - 0 8,b1c3,Nxc3,15,white,-2.0,30
rnbqkb1r/pp1p1ppp/1n2p3/4P3/8/1BN2N2/PP3PPP/R1BQK2R b KQkq - 0 8,d7d5,d5,16,black,-1.0,29
rnbqkb1r/pp3ppp/1n2p3/3pP3/8/1BN2N2/PP3PPP/R1BQK2R w KQkq d6 0 9,e5d6,exd6,17,white,-1.0,29
rnbqkb1r/pp3ppp/1n1Pp3/8/8/1BN2N2/PP3PPP/R1BQK2R b KQkq - 0 9,f8d6,Bxd6,18,black,0.0,28
rnbqk2r/pp3ppp/1n1bp3/8/8/1BN2N2/PP3PPP/R1BQK2R w KQkq - 0 10,e1g1,O-O,19,white,-1.0,27
rnbqk2r/pp3ppp/1n1bp3/8/8/1BN2N2/PP3PPP/R1BQ1RK1 b kq - 1 10,e8g8,O-O,20,black,-1.0,27
rnbq1rk1/pp3ppp/1n1bp3/8/8/1BN2N2/PP3PPP/R1BQ1RK1 w - - 2 11,d1e2,Qe2,21,white,-1.0,27
rnbq1rk1/pp3ppp/1n1bp3/8/8/1BN2N2/PP2QPPP/R1B2RK1 b - - 3 11,d8e7,Qe7,22,black,-1.0,27
rnb2rk1/pp2qppp/1n1bp3/8/8/1BN2N2/PP2QPPP/R1B2RK1 w - - 4 12,f1d1,Rd1,23,white,-1.0,27
rnb2rk1/pp2qppp/1n1bp3/8/8/1BN2N2/PP2QPPP/R1BR2K1 b - - 5 12,b8c6,Nc6,24,black,-1.0,27
r1b2rk1/pp2qppp/1nnbp3/8/8/1BN2N2/PP2QPPP/R1BR2K1 w - - 6 13,b3c2,Bc2,25,white,-1.0,27
r1b2rk1/pp2qppp/1nnbp3/8/8/2N2N2/PPB1QPPP/R1BR2K1 b - - 7 13,g7g6,g6,26,black,-1.0,27
r1b2rk1/pp2qp1p/1nnbp1p1/8/8/2N2N2/PPB1QPPP/R1BR2K1 w - - 0 14,c3e4,Ne4,27,white,-1.0,27
r1b2rk1/pp2qp1p/1nnbp1p1/8/4N3/5N2/PPB1QPPP/R1BR2K1 b - - 1 14,d6c7,Bc7,28,black,-1.0,27
r1b2rk1/ppb1qp1p/1nn1p1p1/8/4N3/5N2/PPB1QPPP/R1BR2K1 w - - 2 15,c1e3,Be3,29,white,-1.0,27
r1b2rk1/ppb1qp1p/1nn1p1p1/8/4N3/4BN2/PPB1QPPP/R2R2K1 b - - 3 15,f7f5,f5,30,black,-1.0,27
r1b2rk1/ppb1q2p/1nn1p1p1/5p2/4N3/4BN2/PPB1QPPP/R2R2K1 w - - 0 16,e3c5,Bc5,31,white,-1.0,27
r1b2rk1/ppb1q2p/1nn1p1p1/2B2p2/4N3/5N2/PPB1QPPP/R2R2K1 b - - 1 16,f5e4,fxe4,32,black,-1.0,27
r1b2rk1/ppb1q2p/1nn1p1p1/2B5/4p3/5N2/PPB1QPPP/R2R2K1 w - - 0 17,c5e7,Bxe7,33,white,-4.2,26
r1b2rk1/ppb1B2p/1nn1p1p1/8/4p3/5N2/PPB1QPPP/R2R2K1 b - - 0 17,e4f3,exf3,34,black,4.8,25
r1b2rk1/ppb1B2p/1nn1p1p1/8/8/5p2/PPB1QPPP/R2R2K1 w - - 0 18,g2f3,gxf3,35,white,1.6,24
r1b2rk1/ppb1B2p/1nn1p1p1/8/8/5P2/PPB1QP1P/R2R2K1 b - - 0 18,c6e7,Nxe7,36,black,2.6,23
r1b2rk1/ppb1n2p/1n2p1p1/8/8/5P2/PPB1QP1P/R2R2K1 w - - 0 19,c2b3,Bb3,37,white,-0.7,22
r1b2rk1/ppb1n2p/1n2p1p1/8/8/1B3P2/PP2QP1P/R2R2K1 b - - 1 19,f8f6,Rf6,38,black,-0.7,22
r1b3k1/ppb1n2p/1n2prp1/8/8/1B3P2/PP2QP1P/R2R2K1 w - - 2 20,a1c1,Rac1,39,white,-0.7,22
r1b3k1/ppb1n2p/1n2prp1/8/8/1B3P2/PP2QP1P/2RR2K1 b - - 3 20,e7c6,Nc6,40,black,-0.7,22
r1b3k1/ppb4p/1nn1prp1/8/8/1B3P2/PP2QP1P/2RR2K1 w - - 4 21,e2e4,Qe4,41,white,-0.7,22
r1b3k1/ppb4p/1nn1prp1/8/4Q3/1B3P2/PP3P1P/2RR2K1 b - - 5 21,g8g7,Kg7,42,black,-0.7,22
r1b5/ppb3kp/1nn1prp1/8/4Q3/1B3P2/PP3P1P/2RR2K1 w - - 6 22,c1c6,Rxc6,43,white,-0.7,22
r1b5/ppb3kp/1nR1prp1/8/4Q3/1B3P2/PP3P1P/3R2K1 b - - 0 22,b7c6,bxc6,44,black,2.5,21
r1b5/p1b3kp/1np1prp1/8/4Q3/1B3P2/PP3P1P/3R2K1 w - - 0 23,e4c6,Qxc6,45,white,-2.5,20
r1b5/p1b3kp/1nQ1prp1/8/8/1B3P2/PP3P1P/3R2K1 b - - 0 23,c7e5,Be5,46,black,-1.5,19
r1b5/p5kp/1nQ1prp1/4b3/8/1B3P2/PP3P1P/3R2K1 w - - 1 24,d1d8,Rd8,47,white,-1.5,19
r1bR4/p5kp/1nQ1prp1/4b3/8/1B3P2/PP3P1P/6K1 b - - 2 24,g7h6,Kh6,48,black,-1.5,19
r1bR4/p6p/1nQ1prpk/4b3/8/1B3P2/PP3P1P/6K1 w - - 3 25,c6e4,Qe4,49,white,-1.5,19
r1bR4/p6p/1n2prpk/4b3/4Q3/1B3P2/PP3P1P/6K1 b - - 4 25,f6f5,Rf5,50,black,-1.5,19
r1bR4/p6p/1n2p1pk/4br2/4Q3/1B3P2/PP3P1P/6K1 w - - 5 26,h2h4,h4,51,white,-1.5,19
r1bR4/p6p/1n2p1pk/4br2/4Q2P/1B3P2/PP3P2/6K1 b - - 0 26,c8b7,Bb7,52,black,-1.5,19
r2R4/pb5p/1n2p1pk/4br2/4Q2P/1B3P2/PP3P2/6K1 w - - 1 27,e4e3,Qe3+,53,white,-1.5,19
r2R4/pb5p/1n2p1pk/4br2/7P/1B2QP2/PP3P2/6K1 b - - 2 27,e5f4,Bf4,54,black,-1.5,19
r2R4/pb5p/1n2p1pk/5r2/5b1P/1B2QP2/PP3P2/6K1 w - - 3 28,e3d3,Qd3,55,white,-1.5,19
r2R4/pb5p/1n2p1pk/5r2/5b1P/1B1Q1P2/PP3P2/6K1 b - - 4 28,b6d5,Nd5,56,black,-1.5,19
r2R4/pb5p/4p1pk/3n1r2/5b1P/1B1Q1P2/PP3P2/6K1 w - - 5 29,d8a8,Rxa8,57,white,-1.5,19
R7/pb5p/4p1pk/3n1r2/5b1P/1B1Q1P2/PP3P2/6K1 b - - 0 29,b7a8,Bxa8,58,black,3.5,18
b7/p6p/4p1pk/3n1r2/5b1P/1B1Q1P2/PP3P2/6K1 w - - 0 30,d3a6,Qa6,59,white,-1.5,17
b7/p6p/Q3p1pk/3n1r2/5b1P/1B3P2/PP3P2/6K1 b - - 1 30,d5c7,Nc7,60,black,-1.5,17
b7/p1n4p/Q3p1pk/5r2/5b1P/1B3P2/PP3P2/6K1 w - - 2 31,a6a7,Qxa7,61,white,-1.5,17
b7/Q1n4p/4p1pk/5r2/5b1P/1B3P2/PP3P2/6K1 b - - 0 31,a8f3,Bxf3,62,black,-0.5,16
8/Q1n4p/4p1pk/5r2/5b1P/1B3b2/PP3P2/6K1 w - - 0 32,a7b8,Qb8,63,white,-1.5,15
1Q6/2n4p/4p1pk/5r2/5b1P/1B3b2/PP3P2/6K1 b - - 1 32,c7d5,Nd5,64,black,-1.5,15
1Q6/7p/4p1pk/3n1r2/5b1P/1B3b2/PP3P2/6K1 w - - 2 33,b8e8,Qe8,65,white,-1.5,15
4Q3/7p/4p1pk/3n1r2/5b1P/1B3b2/PP3P2/6K1 b - - 3 33,d5f6,Nf6,66,black,-1.5,15
4Q3/7p/4pnpk/5r2/5b1P/1B3b2/PP3P2/6K1 w - - 4 34,e8e7,Qe7,67,white,-1.5,15
8/4Q2p/4pnpk/5r2/5b1P/1B3b2/PP3P2/6K1 b - - 5 34,f6d5,Nd5,68,black,-1.5,15
8/4Q2p/4p1pk/3n1r2/5b1P/1B3b2/PP3P2/6K1 w - - 6 35,e7e8,Qe8,69,white,-1.5,15
4Q3/7p/4p1pk/3n1r2/5b1P/1B3b2/PP3P2/6K1 b - - 7 35,h6h5,Kh5,70,black,-1.5,15
4Q3/7p/4p1p1/3n1r1k/5b1P/1B3b2/PP3P2/6K1 w - - 8 36,e8g8,Qg8,71,white,-1.5,15
6Q1/7p/4p1p1/3n1r1k/5b1P/1B3b2/PP3P2/6K1 b - - 9 36,h5h4,Kxh4,72,black,-1.5,15
6Q1/7p/4p1p1/3n1r2/5b1k/1B3b2/PP3P2/6K1 w - - 0 37,g8h7,Qxh7+,73,white,-2.5,14
8/7Q/4p1p1/3n1r2/5b1k/1B3b2/PP3P2/6K1 b - - 0 37,f5h5,Rh5,74,black,-1.5,13
8/7Q/4p1p1/3n3r/5b1k/1B3b2/PP3P2/6K1 w - - 1 38,h7f7,Qf7,75,white,-1.5,13
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQK2R w KQkq - 0 6,c4b3,Bb3,11,white,0.0,32
r1bqk2r/1ppp1ppp/p1n2n2/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQK2R b KQkq - 1 6,d7d6,d6,12,black,0.0,32
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQK2R w KQkq - 0 7,h2h3,h3,13,white,0.0,32
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R b KQkq - 0 7,h7h6,h6,14,black,0.0,32
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQK2R w KQkq - 0 8,b1d2,Nbd2,15,white,0.0,32
r1bqk2r/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R b KQkq - 1 8,e8g8,O-O,16,black,0.0,32
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R w KQ - 2 9,d2f1,Nf1,17,white,0.0,32
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/R1BQKN1R b KQ - 3 9,d6d5,d5,18,black,0.0,32
r1bq1rk1/1pp2pp1/p1n2n1p/2bpp3/4P3/1BPP1N1P/PP3PP1/R1BQKN1R w KQ - 0 10,d1e2,Qe2,19,white,0.0,32
r1bq1rk1/1pp2pp1/p1n2n1p/2bpp3/4P3/1BPP1N1P/PP2QPP1/R1B1KN1R b KQ - 1 10,d5e4,dxe4,20,black,0.0,32
r1bq1rk1/1pp2pp1/p1n2n1p/2b1p3/4p3/1BPP1N1P/PP2QPP1/R1B1KN1R w KQ - 0 11,d3e4,dxe4,21,white,-1.0,31
r1bq1rk1/1pp2pp1/p1n2n1p/2b1p3/4P3/1BP2N1P/PP2QPP1/R1B1KN1R b KQ - 0 11,f6h5,Nh5,22,black,0.0,30
r1bq1rk1/1pp2pp1/p1n4p/2b1p2n/4P3/1BP2N1P/PP2QPP1/R1B1KN1R w KQ - 1 12,g2g3,g3,23,white,0.0,30
r1bq1rk1/1pp2pp1/p1n4p/2b1p2n/4P3/1BP2NPP/PP2QP2/R1B1KN1R b KQ - 0 12,h5f6,Nf6,24,black,0.0,30
r1bq1rk1/1pp2pp1/p1n2n1p/2b1p3/4P3/1BP2NPP/PP2QP2/R1B1KN1R w KQ - 1 13,g3g4,g4,25,white,0.0,30
r1bq1rk1/1pp2pp1/p1n2n1p/2b1p3/4P1P1/1BP2N1P/PP2QP2/R1B1KN1R b KQ - 0 13,g7g5,g5,26,black,0.0,30
r1bq1rk1/1pp2p2/p1n2n1p/2b1p1p1/4P1P1/1BP2N1P/PP2QP2/R1B1KN1R w KQ - 0 14,f1g3,Ng3,27,white,0.0,30
r1bq1rk1/1pp2p2/p1n2n1p/2b1p1p1/4P1P1/1BP2NNP/PP2QP2/R1B1K2R b KQ - 1 14,b7b5,b5,28,black,0.0,30
r1bq1rk1/2p2p2/p1n2n1p/1pb1p1p1/4P1P1/1BP2NNP/PP2QP2/R1B1K2R w KQ - 0 15,h1g1,Rg1,29,white,0.0,30
r1bq1rk1/2p2p2/p1n2n1p/1pb1p1p1/4P1P1/1BP2NNP/PP2QP2/R1B1K1R1 b Q - 1 15,c6a5,Na5,30,black,0.0,30
r1bq1rk1/2p2p2/p4n1p/npb1p1p1/4P1P1/1BP2NNP/PP2QP2/R1B1K1R1 w Q - 2 16,b3c2,Bc2,31,white,0.0,30
r1bq1rk1/2p2p2/p4n1p/npb1p1p1/4P1P1/2P2NNP/PPB1QP2/R1B1K1R1 b Q - 3 16,a5c4,Nc4,32,black,0.0,30
r1bq1rk1/2p2p2/p4n1p/1pb1p1p1/2n1P1P1/2P2NNP/PPB1QP2/R1B1K1R1 w Q - 4 17,g3f5,Nf5,33,white,0.0,30
r1bq1rk1/2p2p2/p4n1p/1pb1pNp1/2n1P1P1/2P2N1P/PPB1QP2/R1B1K1R1 b Q - 5 17,g8h7,Kh7,34,black,0.0,30
r1bq1r2/2p2p1k/p4n1p/1pb1pNp1/2n1P1P1/2P2N1P/PPB1QP2/R1B1K1R1 w Q - 6 18,h3h4,h4,35,white,0.0,30
r1bq1r2/2p2p1k/p4n1p/1pb1pNp1/2n1P1PP/2P2N2/PPB1QP2/R1B1K1R1 b Q - 0 18,c8f5,Bxf5,36,black,0.0,30
r2q1r2/2p2p1k/p4n1p/1pb1pbp1/2n1P1PP/2P2N2/PPB1QP2/R1B1K1R1 w Q - 0 19,g4f5,gxf5,37,white,-3.2,29
r2q1r2/2p2p1k/p4n1p/1pb1pPp1/2n1P2P/2P2N2/PPB1QP2/R1B1K1R1 b Q - 0 19,g5g4,g4,38,black,0.1,28
r2q1r2/2p2p1k/p4n1p/1pb1pP2/2n1P1pP/2P2N2/PPB1QP2/R1B1K1R1 w Q - 0 20,f3h2,Nh2,39,white,0.1,28
r2q1r2/2p2p1k/p4n1p/1pb1pP2/2n1P1pP/2P5/PPB1QP1N/R1B1K1R1 b Q - 1 20,f8g8,Rg8,40,black,0.1,28
r2q2r1/2p2p1k/p4n1p/1pb1pP2/2n1P1pP/2P5/PPB1QP1N/R1B1K1R1 w Q - 2 21,g1g3,Rg3,41,white,0.1,28
r2q2r1/2p2p1k/p4n1p/1pb1pP2/2n1P1pP/2P3R1/PPB1QP1N/R1B1K3 b Q - 3 21,f6h5,Nh5,42,black,0.1,28
r2q2r1/2p2p1k/p6p/1pb1pP1n/2n1P1pP/2P3R1/PPB1QP1N/R1B1K3 w Q - 4 22,g3g4,Rxg4,43,white,0.1,28
r2q2r1/2p2p1k/p6p/1pb1pP1n/2n1P1RP/2P5/PPB1QP1N/R1B1K3 b Q - 0 22,g8g4,Rxg4,44,black,1.1,27
r2q4/2p2p1k/p6p/1pb1pP1n/2n1P1rP/2P5/PPB1QP1N/R1B1K3 w Q - 0 23,e2g4,Qxg4,45,white,-3.9,26
r2q4/2p2p1k/p6p/1pb1pP1n/2n1P1QP/2P5/PPB2P1N/R1B1K3 b Q - 0 23,h5f6,Nf6,46,black,1.1,25
r2q4/2p2p1k/p4n1p/1pb1pP2/2n1P1QP/2P5/PPB2P1N/R1B1K3 w Q - 1 24,g4h3,Qh3,47,white,1.1,25
r2q4/2p2p1k/p4n1p/1pb1pP2/2n1P2P/2P4Q/PPB2P1N/R1B1K3 b Q - 2 24,d8d6,Qd6,48,black,1.1,25
r7/2p2p1k/p2q1n1p/1pb1pP2/2n1P2P/2P4Q/PPB2P1N/R1B1K3 w Q - 3 25,b2b3,b3,49,white,1.1,25
r7/2p2p1k/p2q1n1p/1pb1pP2/2n1P2P/1PP4Q/P1B2P1N/R1B1K3 b Q - 0 25,c4a3,Na3,50,black,1.1,25
r7/2p2p1k/p2q1n1p/1pb1pP2/4P2P/nPP4Q/P1B2P1N/R1B1K3 w Q - 1 26,c1a3,Bxa3,51,white,1.1,25
r7/2p2p1k/p2q1n1p/1pb1pP2/4P2P/BPP4Q/P1B2P1N/R3K3 b Q - 0 26,c5a3,Bxa3,52,black,4.3,24
r7/2p2p1k/p2q1n1p/1p2pP2/4P2P/bPP4Q/P1B2P1N/R3K3 w Q - 0 27,a1d1,Rd1,53,white,1.0,23
r7/2p2p1k/p2q1n1p/1p2pP2/4P2P/bPP4Q/P1B2P1N/3RK3 b - - 1 27,d6c5,Qc5,54,black,1.0,23
r7/2p2p1k/p4n1p/1pq1pP2/4P2P/bPP4Q/P1B2P1N/3RK3 w - - 2 28,h3e3,Qe3,55,white,1.0,23
r7/2p2p1k/p4n1p/1pq1pP2/4P2P/bPP1Q3/P1B2P1N/3RK3 b - - 3 28,c5c6,Qc6,56,black,1.0,23
r7/2p2p1k/p1q2n1p/1p2pP2/4P2P/bPP1Q3/P1B2P1N/3RK3 w - - 4 29,h2f3,Nf3,57,white,1.0,23
r7/2p2p1k/p1q2n1p/1p2pP2/4P2P/bPP1QN2/P1B2P2/3RK3 b - - 5 29,a3b2,Bb2,58,black,1.0,23
r7/2p2p1k/p1q2n1p/1p2pP2/4P2P/1PP1QN2/PbB2P2/3RK3 w - - 6 30,c3c4,c4,59,white,1.0,23
r7/2p2p1k/p1q2n1p/1p2pP2/2P1P2P/1P2QN2/PbB2P2/3RK3 b - - 0 30,b5c4,bxc4,60,black,1.0,23
r7/2p2p1k/p1q2n1p/4pP2/2p1P2P/1P2QN2/PbB2P2/3RK3 w - - 0 31,b3c4,bxc4,61,white,0.0,22
r7/2p2p1k/p1q2n1p/4pP2/2P1P2P/4QN2/PbB2P2/3RK3 b - - 0 31,c6c4,Qxc4,62,black,1.0,21
r7/2p2p1k/p4n1p/4pP2/2q1P2P/4QN2/PbB2P2/3RK3 w - - 0 32,e3d3,Qd3,63,white,0.0,20
r7/2p2p1k/p4n1p/4pP2/2q1P2P/3Q1N2/PbB2P2/3RK3 b - - 1 32,c4a2,Qxa2,64,black,0.0,20
