fen,move,move_san,move_number,to_move,evaluation,piece_count
2kr2r1/ppqb1p2/2n1p3/3nP3/2Qp1P2/P5N1/2P3PP/R1B1KB1R w KQ - 2 16,g3e4,Ne4,31,white,1.1,25
2kr2r1/ppqb1p2/2n1p3/3nP3/2QpNP2/P7/2P3PP/R1B1KB1R b KQ - 3 16,c8b8,Kb8,32,black,1.1,25
1k1r2r1/ppqb1p2/2n1p3/3nP3/2QpNP2/P7/2P3PP/R1B1KB1R w KQ - 4 17,g2g3,g3,33,white,1.1,25
1k1r2r1/ppqb1p2/2n1p3/3nP3/2QpNP2/P5P1/2P4P/R1B1KB1R b KQ - 0 17,d5b6,Nb6,34,black,1.1,25
1k1r2r1/ppqb1p2/1nn1p3/4P3/2QpNP2/P5P1/2P4P/R1B1KB1R w KQ - 1 18,c4c5,Qc5,35,white,1.1,25
1k1r2r1/ppqb1p2/1nn1p3/2Q1P3/3pNP2/P5P1/2P4P/R1B1KB1R b KQ - 2 18,d7c8,Bc8,36,black,1.1,25
1kbr2r1/ppq2p2/1nn1p3/2Q1P3/3pNP2/P5P1/2P4P/R1B1KB1R w KQ - 3 19,e4f6,Nf6,37,white,1.1,25
1kbr2r1/ppq2p2/1nn1pN2/2Q1P3/3p1P2/P5P1/2P4P/R1B1KB1R b KQ - 4 19,b6d7,Nd7,38,black,1.1,25
1kbr2r1/ppqn1p2/2n1pN2/2Q1P3/3p1P2/P5P1/2P4P/R1B1KB1R w KQ - 5 20,f6d7,Nxd7+,39,white,1.1,25
1kbr2r1/ppqN1p2/2n1p3/2Q1P3/3p1P2/P5P1/2P4P/R1B1KB1R b KQ - 0 20,c7d7,Qxd7,40,black,4.3,24
1kbr2r1/pp1q1p2/2n1p3/2Q1P3/3p1P2/P5P1/2P4P/R1B1KB1R w KQ - 0 21,f1b5,Bb5,41,white,1.1,23
1kbr2r1/pp1q1p2/2n1p3/1BQ1P3/3p1P2/P5P1/2P4P/R1B1K2R b KQ - 1 21,d7c7,Qc7,42,black,1.1,23
1kbr2r1/ppq2p2/2n1p3/1BQ1P3/3p1P2/P5P1/2P4P/R1B1K2R w KQ - 2 22,a1b1,Rb1,43,white,1.1,23
1kbr2r1/ppq2p2/2n1p3/1BQ1P3/3p1P2/P5P1/2P4P/1RB1K2R b K - 3 22,d8d5,Rd5,44,black,1.1,23
1kb3r1/ppq2p2/2n1p3/1BQrP3/3p1P2/P5P1/2P4P/1RB1K2R w K - 4 23,c5c4,Qc4,45,white,1.1,23
1kb3r1/ppq2p2/2n1p3/1B1rP3/2Qp1P2/P5P1/2P4P/1RB1K2R b K - 5 23,c8d7,Bd7,46,black,1.1,23
1k4r1/ppqb1p2/2n1p3/1B1rP3/2Qp1P2/P5P1/2P4P/1RB1K2R w K - 6 24,a3a4,a4,47,white,1.1,23
1k4r1/ppqb1p2/2n1p3/1B1rP3/P1Qp1P2/6P1/2P4P/1RB1K2R b K - 0 24,b8a8,Ka8,48,black,1.1,23
k5r1/ppqb1p2/2n1p3/1B1rP3/P1Qp1P2/6P1/2P4P/1RB1K2R w K - 1 25,c1d2,Bd2,49,white,1.1,23
k5r1/ppqb1p2/2n1p3/1B1rP3/P1Qp1P2/6P1/2PB3P/1R2K2R b K - 2 25,g8c8,Rc8,50,black,1.1,23
k1r5/ppqb1p2/2n1p3/1B1rP3/P1Qp1P2/6P1/2PB3P/1R2K2R w K - 3 26,e1g1,O-O,51,white,1.1,23
k1r5/ppqb1p2/2n1p3/1B1rP3/P1Qp1P2/6P1/2PB3P/1R3RK1 b - - 4 26,d4d3,d3,52,black,1.1,23
k1r5/ppqb1p2/2n1p3/1B1rP3/P1Q2P2/3p2P1/2PB3P/1R3RK1 w - - 0 27,c2d3,cxd3,53,white,1.1,23
k1r5/ppqb1p2/2n1p3/1B1rP3/P1Q2P2/3P2P1/3B3P/1R3RK1 b - - 0 27,c7b6,Qb6+,54,black,2.1,22
k1r5/pp1b1p2/1qn1p3/1B1rP3/P1Q2P2/3P2P1/3B3P/1R3RK1 w - - 1 28,g1g2,Kg2,55,white,2.1,22
k1r5/pp1b1p2/1qn1p3/1B1rP3/P1Q2P2/3P2P1/3B2KP/1R3R2 b - - 2 28,a7a6,a6,56,black,2.1,22
k1r5/1p1b1p2/pqn1p3/1B1rP3/P1Q2P2/3P2P1/3B2KP/1R3R2 w - - 0 29,b5c6,Bxc6,57,white,2.1,22
k1r5/1p1b1p2/pqB1p3/3rP3/P1Q2P2/3P2P1/3B2KP/1R3R2 b - - 0 29,b6c6,Qxc6,58,black,5.3,21
